"family","label","state","deltaE_family_eV","final_energy_eV","max_force_eVA","site","co_idx","orientation","min_contact_ratio","structure_dir","structure_cif"
"vacancy_co_top_13__H2O2","H2O2_cotop13_h1p90_default_tilt30_az120","H2O2","0.0","-544.8416137695312","0.009771643206477165","vacancy_co_top_13",,"default_tilt30_az120","0.8684208936950485","vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az120","vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az120\structure.cif"
"vacancy_co_top_13__H2O2","H2O2_cotop13_h1p90_default_tilt30_az240","H2O2","0.12664794921875","-544.7149658203125","0.009780199266970158","vacancy_co_top_13",,"default_tilt30_az240","0.8687717941951597","vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az240","vacancy_co_top_13__H2O2__H2O2_cotop13_h1p90_default_tilt30_az240\structure.cif"
"vacancy_co_top_13__O","O_atom_tilt0_az0","O","0.0","-530.2056884765625","0.00832045916467905","neighbor_co_top","13","atom_tilt0_az0","0.8628603870318555","vacancy_co_top_13__O__O_atom_tilt0_az0","vacancy_co_top_13__O__O_atom_tilt0_az0\structure.cif"
"vacancy_co_top_13__O2","O2_side_on_tilt30_az180","O2","0.0","-535.1011352539062","0.009907151572406292","neighbor_co_top","13","side_on_tilt30_az180","0.8707101921777611","vacancy_co_top_13__O2__O2_side_on_tilt30_az180","vacancy_co_top_13__O2__O2_side_on_tilt30_az180\structure.cif"
"vacancy_co_top_13__OH","OH_cotop13_h1p70_co_bound_tilt30_az30","OH","0.307861328125","-535.2195434570312","0.009855899028480053","vacancy_co_top_13",,"co_bound_tilt30_az30","0.8742739417722698","vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az30","vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az30\structure.cif"
"vacancy_co_top_13__OH","OH_cotop13_h1p70_co_bound_tilt30_az90","OH","0.0","-535.5274047851562","0.005707905627787113","vacancy_co_top_13",,"co_bound_tilt30_az90","0.868326411793901","vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az90","vacancy_co_top_13__OH__OH_cotop13_h1p70_co_bound_tilt30_az90\structure.cif"
"vacancy_co_top_13__OOH","OOH_default_tilt30_az90","OOH","0.0","-539.5732421875","0.02030525915324688","neighbor_co_top","13","default_tilt30_az90","0.8721599385100223","vacancy_co_top_13__OOH__OOH_default_tilt30_az90","vacancy_co_top_13__OOH__OOH_default_tilt30_az90\structure.cif"
"vacancy_co_top_3__H2O","H2O_co_bound_tilt0_az0","H2O","0.0","-539.67236328125","0.02260066755115986","neighbor_co_top","3","co_bound_tilt0_az0","0.8779374547735946","vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0","vacancy_co_top_3__H2O__H2O_co_bound_tilt0_az0\structure.cif"
"vacancy_co_top_3__H2O2","H2O2_cotop3_h1p90_default_tilt0_az0","H2O2","0.16644287109375","-544.6751098632812","0.029191546142101288","vacancy_co_top_3",,"default_tilt0_az0","0.8599599753538988","vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt0_az0","vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt0_az0\structure.cif"
"vacancy_co_top_3__H2O2","H2O2_cotop3_h1p90_default_tilt30_az300","H2O2","0.0","-544.841552734375","0.00997785571962595","vacancy_co_top_3",,"default_tilt30_az300","0.8649841867968939","vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt30_az300","vacancy_co_top_3__H2O2__H2O2_cotop3_h1p90_default_tilt30_az300\structure.cif"
"vacancy_co_top_3__O","O_atom_tilt0_az0","O","0.0","-530.2053833007812","0.009773827157914639","neighbor_co_top","3","atom_tilt0_az0","0.8629905883662379","vacancy_co_top_3__O__O_atom_tilt0_az0","vacancy_co_top_3__O__O_atom_tilt0_az0\structure.cif"
"vacancy_co_top_3__O2","O2_side_on_tilt0_az0","O2","0.0","-535.0675659179688","0.009015509858727455","neighbor_co_top","3","side_on_tilt0_az0","0.8721680073203124","vacancy_co_top_3__O2__O2_side_on_tilt0_az0","vacancy_co_top_3__O2__O2_side_on_tilt0_az0\structure.cif"
"vacancy_co_top_3__OH","OH_cotop3_h1p70_co_bound_tilt30_az270","OH","0.0001220703125","-535.2195434570312","0.009888283908367157","vacancy_co_top_3",,"co_bound_tilt30_az270","0.8736432032715055","vacancy_co_top_3__OH__OH_cotop3_h1p70_co_bound_tilt30_az270","vacancy_co_top_3__OH__OH_cotop3_h1p70_co_bound_tilt30_az270\structure.cif"
"vacancy_co_top_3__OH","OH_cotop3_h1p70_co_bound_tilt30_az330","OH","0.0","-535.2196655273438","0.009791870601475239","vacancy_co_top_3",,"co_bound_tilt30_az330","0.8736297601157885","vacancy_co_top_3__OH__OH_cotop3_h1p70_co_bound_tilt30_az330","vacancy_co_top_3__OH__OH_cotop3_h1p70_co_bound_tilt30_az330\structure.cif"
"vacancy_co_top_3__OOH","OOH_default_tilt30_az270","OOH","0.0","-539.5715942382812","0.019020048901438713","neighbor_co_top","3","default_tilt30_az270","0.8631683364260964","vacancy_co_top_3__OOH__OOH_default_tilt30_az270","vacancy_co_top_3__OOH__OOH_default_tilt30_az270\structure.cif"
"vacancy_edge_bridge__H2O","H2O_co_bound_tilt30_az150","H2O","0.0","-540.3440551757812","0.009766190312802792","vacancy_edge_bridge","3","co_bound_tilt30_az150","0.8705360239209801","vacancy_edge_bridge__H2O__H2O_co_bound_tilt30_az150","vacancy_edge_bridge__H2O__H2O_co_bound_tilt30_az150\structure.cif"
"vacancy_edge_bridge__O","O_atom_tilt0_az0","O","0.0","-530.160888671875","0.00809353869408369","vacancy_edge_bridge","3","atom_tilt0_az0","0.8669858615208897","vacancy_edge_bridge__O__O_atom_tilt0_az0","vacancy_edge_bridge__O__O_atom_tilt0_az0\structure.cif"
"vacancy_edge_bridge__O2","O2_end_on_tilt30_az240","O2","0.0","-534.9910888671875","0.014184174127876759","vacancy_edge_bridge","3","end_on_tilt30_az240","0.8702536817011577","vacancy_edge_bridge__O2__O2_end_on_tilt30_az240","vacancy_edge_bridge__O2__O2_end_on_tilt30_az240\structure.cif"
"vacancy_edge_bridge__OH","OH_co_bound_tilt30_az270","OH","0.0","-535.2976684570312","0.009942770004272461","vacancy_edge_bridge","3","co_bound_tilt30_az270","0.8671745968278177","vacancy_edge_bridge__OH__OH_co_bound_tilt30_az270","vacancy_edge_bridge__OH__OH_co_bound_tilt30_az270\structure.cif"
"vacancy_edge_bridge__OOH","OOH_default_tilt30_az300","OOH","0.0","-539.8358154296875","0.015550837852060795","vacancy_edge_bridge","3","default_tilt30_az300","0.8634550245834114","vacancy_edge_bridge__OOH__OOH_default_tilt30_az300","vacancy_edge_bridge__OOH__OOH_default_tilt30_az300\structure.cif"
