case_id,family,label,formula,natoms,initial_energy_eV,final_energy_eV,deltaE_family_eV,energy_per_atom_eV,max_force_eVA,n_steps,converged,stage,site,co_idx,orientation,vacancy_site
25,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az300,H2Ba16Co16O49,83,-540.099609375,-541.3732299804688,1.04034423828125,-6.522569035909262,0.8563016057014465,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az300,
10,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az240,H2Ba16Co16O49,83,-539.2767944335938,-541.300537109375,1.113037109375,-6.521693218185241,1.2468829154968262,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az240,
12,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az300,H2Ba16Co16O49,83,-539.2767944335938,-541.300537109375,1.113037109375,-6.521693218185241,1.2468185424804688,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az300,
37,direct_co_o_bridge__H2O,H2O_bridge_h2p10_co_bound_tilt30_az270,H2Ba16Co16O49,83,-540.4586181640625,-541.215576171875,1.197998046875,-6.520669592432229,0.41399991512298584,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az270,
24,direct_co_o_bridge__H2O,H2O_bridge_h1p90_co_bound_tilt30_az270,H2Ba16Co16O49,83,-540.0092163085938,-541.1626586914062,1.25091552734375,-6.520032032426581,0.6980301737785339,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az270,
11,direct_co_o_bridge__H2O,H2O_bridge_h1p70_co_bound_tilt30_az270,H2Ba16Co16O49,83,-539.138671875,-540.938720703125,1.474853515625,-6.517333984375,1.0293322801589966,16,False,stage1,direct_co_o_bridge,,co_bound_tilt30_az270,
138,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az180,H2Ba16Co16O48,82,-535.4108276367188,-537.364990234375,0.0,-6.553231588224086,0.23571492731571198,14,True,stage1,vacancy_center,,co_bound_tilt30_az180,
106,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az0,H2Ba16Co16O48,82,-535.3272705078125,-537.3511352539062,0.01385498046875,-6.553062625047637,0.20187385380268097,14,True,stage1,vacancy_center,,co_bound_tilt30_az0,
112,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt30_az180,H2Ba16Co16O48,82,-535.3272705078125,-537.3511352539062,0.01385498046875,-6.553062625047637,0.20187124609947205,14,True,stage1,vacancy_center,,co_bound_tilt30_az180,
126,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az210,H2Ba16Co16O48,82,-535.4588623046875,-537.2872314453125,0.0777587890625,-6.552283310308689,0.8282148838043213,16,False,stage1,vacancy_center,,co_bound_tilt30_az210,
130,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az330,H2Ba16Co16O48,82,-535.4588623046875,-537.2872314453125,0.0777587890625,-6.552283310308689,0.8282153010368347,16,False,stage1,vacancy_center,,co_bound_tilt30_az330,
105,vacancy_center__H2O,H2O_center_h2p00_co_bound_tilt0_az0,H2Ba16Co16O48,82,-535.3017578125,-537.2871704101562,0.07781982421875,-6.5522825659775155,0.203054741024971,14,True,stage1,vacancy_center,,co_bound_tilt0_az0,
132,vacancy_center__H2O,H2O_offset_y+_h1p90_co_bound_tilt30_az0,H2Ba16Co16O48,82,-535.2708129882812,-537.2699584960938,0.09503173828125,-6.552072664586509,0.22448565065860748,14,True,stage1,vacancy_center,,co_bound_tilt30_az0,
119,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az0,H2Ba16Co16O48,82,-535.4494018554688,-537.2670288085938,0.09796142578125,-6.552036936690167,0.8190739154815674,16,False,stage1,vacancy_center,,co_bound_tilt30_az0,
125,vacancy_center__H2O,H2O_offset_x+_h1p90_co_bound_tilt30_az180,H2Ba16Co16O48,82,-535.4494018554688,-537.2670288085938,0.09796142578125,-6.552036936690167,0.819075345993042,16,False,stage1,vacancy_center,,co_bound_tilt30_az180,
